Name,N,NNZ,Nonzeros(nnz/N),Density,Diags,Num_diag_elem,Num_diag_elem_per_NNZ,Small_rows_percentage,Small_rows_elem_percentage,NNZ_min,NNZ_max,NNZ_mean,NNZ_sd,DiffNNZ_min,DiffNNZ_max,DiffNNZ_mean,DiffNNZ_sd,BW_min,BW_max,BW_mean,BW_sd,Scatter_min,Scatter_max,Scatter_mean,Scatter_geom,Scatter_sd,Misses,FLOPS_byte
ex35.mtx,19716,227872,11.5577,0.00058621,173,3391616,14.883865,3.48448,0.76227,1,18,11.557719,4.498329,0,12,3.356005,4.046608,5.1e-05,0.014607,0.012211,34.302425,0.012658,1.0,0.061465,0.047101,0.106053,0.277182,0.221281
wv2010.mtx,135218,662922,4.90262,3.62571e-05,27958,3204531956,4833.950232,75.248116,52.998241,1,94,4.902617,3.719831,0,89,2.958719,4.078021,7e-06,0.961322,0.032549,12797.09375,1.6e-05,1.0,0.044453,0.003282,0.193935,0.93076,0.19143
fs_680_1.mtx,680,2184,3.21176,0.00472318,20,9438,4.321429,85.441177,69.505493,1,8,3.211765,1.960452,0,6,0.125,0.520711,0.001471,0.825,0.296739,184.322159,0.003839,1.0,0.354425,0.061361,0.464798,0.821513,0.170412
nlpkkt160.mtx,8345600,225422112,27.0109,3.23654e-06,307219,1281967616000,5686.9648,0.000288,5.3e-05,5,28,27.010893,2.579102,0,15,0.110662,0.979451,0.006251,0.509222,0.25925,2093765.25,1e-06,0.000516,0.000254,4.3e-05,0.000244,0.370477,0.236847
CAG_mat364.mtx,364,13585,37.3214,0.102531,706,132295,9.738314,1.923077,0.169304,2,82,37.32143,18.935951,0,80,18.082418,15.549771,0.10989,0.994505,0.891355,47.958771,0.014085,0.236311,0.112234,0.097814,0.051708,0.382309,0.24034
wiki-Talk.mtx,2394385,5021410,2.09716,8.75866e-07,2068543,2741974160701,546056.617703,98.780022,3.725487,0,100022,2.097161,99.888802,0,100021,3.371774,136.607834,0.0,0.999997,0.009013,186685.734375,0.0,1.0,0.033554,0.0,0.177499,0.0,0.145751
lhr01.mtx,1477,18427,12.476,0.00844683,1126,1234179,66.976665,73.52742,20.03039,1,43,12.475965,15.82584,0,39,16.174002,18.044785,0.000677,0.748815,0.235932,334.238068,0.002712,1.0,0.141183,0.040517,0.288654,0.499529,0.223168
nemeth08.mtx,9506,394816,41.5333,0.00436917,83,787268,1.994012,0.0,0.0,17,52,41.533348,6.668873,0,22,6.634021,5.232487,0.001999,0.007259,0.005802,7.853348,0.545455,0.971429,0.753263,0.750966,0.057316,0.090419,0.241286
n4c6-b5.mtx,51813,310878,6.0,0.000115801,71580,2172601158,6988.597321,0.0,0.0,6,6,6.0,0.0,0,0,0.0,0.0,0.000116,0.295003,0.128912,3770.530029,0.000393,1.0,0.001802,0.001119,0.007106,0.752347,0.2
G16.mtx,800,9344,11.68,0.0146,1506,631994,67.636344,2.5,1.070205,5,123,11.68,11.571986,0,45,3.38125,5.490304,0.0825,1.0,0.769683,157.20401,0.006766,0.15629,0.01894,0.016198,0.015101,0.780724,0.221548
cz308.mtx,308,3182,10.3312,0.0335428,154,41503,13.043055,62.337662,30.043997,1,27,10.331169,7.295299,0,22,4.188312,6.423142,0.003247,0.282468,0.126792,16.10993,0.121951,1.0,0.253965,0.228934,0.123916,0.334911,0.218304
bcsstk12.mtx,1473,34241,23.2458,0.0157812,181,213039,6.221752,3.394433,0.391344,2,33,23.245756,6.736073,0,24,2.173795,4.683259,0.035302,0.443992,0.123823,184.871246,0.003578,0.349206,0.198287,0.160483,0.091315,0.133986,0.234846
af_shell2.mtx,504855,17562051,34.7863,6.89036e-05,7525,3783172815,215.417483,0.0,0.0,20,40,34.786327,1.302133,0,20,0.108972,0.653995,4e-05,0.018788,0.006296,1325.833496,0.002636,1.0,0.014851,0.012373,0.018284,0.086482,0.239666
bibd_12_4.mtx,495,2970,6.0,0.0121212,450,127385,42.890572,86.666664,0.0,0,45,6.0,15.297058,0,45,0.090909,2.020563,0.0,0.925252,0.093982,126.286697,0.000202,1.0,0.022301,0.000484,0.075015,0.00052,0.2
case9_A_07.mtx,14454,147972,10.2374,0.000708278,14517,104954094,709.283473,49.910061,19.46652,1,7210,10.237443,105.235596,0,7194,1.091878,85.099434,6.9e-05,0.999862,0.436916,3800.91748,0.000454,1.0,0.002173,0.001338,0.018803,0.392665,0.218051
case9_A_12.mtx,14454,147972,10.2374,0.000708278,14517,104954094,709.283473,49.910061,19.46652,1,7210,10.237443,105.235596,0,7194,1.091878,85.099434,6.9e-05,0.999862,0.436916,3800.91748,0.000454,1.0,0.002173,0.001338,0.018803,0.392665,0.218051
case9_b2_10.mtx,14454,13936,0.964162,6.67056e-05,13936,100188794,7189.207377,100.0,100.0,0,1,0.964162,0.185881,0,1,0.045385,0.208166,0.0,6.9e-05,6.7e-05,0.185881,7e-06,1.0,0.964162,0.653246,0.18588,0.653246,0.097818
case9_b2_06.mtx,14454,14453,0.999931,6.91802e-05,14453,104451846,7227.001038,100.0,100.0,0,1,0.999931,0.008317,0,1,0.000138,0.011761,0.0,6.9e-05,6.9e-05,0.008317,7e-06,1.0,0.999931,0.999178,0.008317,0.999178,0.099996
case9_b1_05.mtx,14454,14453,0.999931,6.91802e-05,14453,104451846,7227.001038,100.0,100.0,0,1,0.999931,0.008317,0,1,0.000138,0.011761,0.0,6.9e-05,6.9e-05,0.008317,7e-06,1.0,0.999931,0.999178,0.008317,0.999178,0.099996
case9_A_02.mtx,14454,147972,10.2374,0.000708278,14517,104954094,709.283473,49.910061,19.46652,1,7210,10.237443,105.235596,0,7194,1.091878,85.099434,6.9e-05,0.999862,0.436916,3800.91748,0.000454,1.0,0.002173,0.001338,0.018803,0.392665,0.218051
case9_A_01.mtx,14454,147972,10.2374,0.000708278,14517,104954094,709.283473,49.910061,19.46652,1,7210,10.237443,105.235596,0,7194,1.091878,85.099434,6.9e-05,0.999862,0.436916,3800.91748,0.000454,1.0,0.002173,0.001338,0.018803,0.392665,0.218051
case9.mtx,14454,147972,10.2374,0.000708278,14517,104954094,709.283473,49.910061,19.46652,1,7210,10.237443,105.235596,0,7194,1.091878,85.099434,6.9e-05,0.999862,0.436916,3800.91748,0.000454,1.0,0.002173,0.001338,0.018803,0.392665,0.218051
case9_A_09.mtx,14454,147972,10.2374,0.000708278,14517,104954094,709.283473,49.910061,19.46652,1,7210,10.237443,105.235596,0,7194,1.091878,85.099434,6.9e-05,0.999862,0.436916,3800.91748,0.000454,1.0,0.002173,0.001338,0.018803,0.392665,0.218051
case9_b2_05.mtx,14454,14453,0.999931,6.91802e-05,14453,104451846,7227.001038,100.0,100.0,0,1,0.999931,0.008317,0,1,0.000138,0.011761,0.0,6.9e-05,6.9e-05,0.008317,7e-06,1.0,0.999931,0.999178,0.008317,0.999178,0.099996
case9_b2_03.mtx,14454,14453,0.999931,6.91802e-05,14453,104451846,7227.001038,100.0,100.0,0,1,0.999931,0.008317,0,1,0.000138,0.011761,0.0,6.9e-05,6.9e-05,0.008317,7e-06,1.0,0.999931,0.999178,0.008317,0.999178,0.099996
case9_b1_08.mtx,14454,14453,0.999931,6.91802e-05,14453,104451846,7227.001038,100.0,100.0,0,1,0.999931,0.008317,0,1,0.000138,0.011761,0.0,6.9e-05,6.9e-05,0.008317,7e-06,1.0,0.999931,0.999178,0.008317,0.999178,0.099996
case9_b2_08.mtx,14454,14453,0.999931,6.91802e-05,14453,104451846,7227.001038,100.0,100.0,0,1,0.999931,0.008317,0,1,0.000138,0.011761,0.0,6.9e-05,6.9e-05,0.008317,7e-06,1.0,0.999931,0.999178,0.008317,0.999178,0.099996
case9_A_04.mtx,14454,147972,10.2374,0.000708278,14517,104954094,709.283473,49.910061,19.46652,1,7210,10.237443,105.235596,0,7194,1.091878,85.099434,6.9e-05,0.999862,0.436916,3800.91748,0.000454,1.0,0.002173,0.001338,0.018803,0.392665,0.218051
case9_b2_02.mtx,14454,14453,0.999931,6.91802e-05,14453,104451846,7227.001038,100.0,100.0,0,1,0.999931,0.008317,0,1,0.000138,0.011761,0.0,6.9e-05,6.9e-05,0.008317,7e-06,1.0,0.999931,0.999178,0.008317,0.999178,0.099996
case9_b1_04.mtx,14454,14453,0.999931,6.91802e-05,14453,104451846,7227.001038,100.0,100.0,0,1,0.999931,0.008317,0,1,0.000138,0.011761,0.0,6.9e-05,6.9e-05,0.008317,7e-06,1.0,0.999931,0.999178,0.008317,0.999178,0.099996
case9_b1_07.mtx,14454,14453,0.999931,6.91802e-05,14453,104451846,7227.001038,100.0,100.0,0,1,0.999931,0.008317,0,1,0.000138,0.011761,0.0,6.9e-05,6.9e-05,0.008317,7e-06,1.0,0.999931,0.999178,0.008317,0.999178,0.099996
case9_b.mtx,14454,14453,0.999931,6.91802e-05,14453,104451846,7227.001038,100.0,100.0,0,1,0.999931,0.008317,0,1,0.000138,0.011761,0.0,6.9e-05,6.9e-05,0.008317,7e-06,1.0,0.999931,0.999178,0.008317,0.999178,0.099996
case9_A_08.mtx,14454,147972,10.2374,0.000708278,14517,104954094,709.283473,49.910061,19.46652,1,7210,10.237443,105.235596,0,7194,1.091878,85.099434,6.9e-05,0.999862,0.436916,3800.91748,0.000454,1.0,0.002173,0.001338,0.018803,0.392665,0.218051
case9_A_11.mtx,14454,147972,10.2374,0.000708278,14517,104954094,709.283473,49.910061,19.46652,1,7210,10.237443,105.235596,0,7194,1.091878,85.099434,6.9e-05,0.999862,0.436916,3800.91748,0.000454,1.0,0.002173,0.001338,0.018803,0.392665,0.218051
case9_A_10.mtx,14454,147972,10.2374,0.000708278,14517,104954094,709.283473,49.910061,19.46652,1,7210,10.237443,105.235596,0,7194,1.091878,85.099434,6.9e-05,0.999862,0.436916,3800.91748,0.000454,1.0,0.002173,0.001338,0.018803,0.392665,0.218051
case9_b2_11.mtx,14454,14134,0.977861,6.76533e-05,14134,101981772,7215.351068,100.0,100.0,0,1,0.977861,0.147133,0,1,0.019649,0.138808,0.0,6.9e-05,6.8e-05,0.147133,7e-06,1.0,0.977861,0.768709,0.147132,0.768709,0.09866
case9_b1_12.mtx,14454,14146,0.978691,6.77107e-05,14146,102126638,7219.471087,100.0,100.0,0,1,0.978691,0.144419,0,1,0.01702,0.129344,0.0,6.9e-05,6.8e-05,0.144419,7e-06,1.0,0.978691,0.776329,0.144418,0.776329,0.09871
case9_b1_06.mtx,14454,14453,0.999931,6.91802e-05,14453,104451846,7227.001038,100.0,100.0,0,1,0.999931,0.008317,0,1,0.000138,0.011761,0.0,6.9e-05,6.9e-05,0.008317,7e-06,1.0,0.999931,0.999178,0.008317,0.999178,0.099996
case9_b1_10.mtx,14454,13936,0.964162,6.67056e-05,13936,100188794,7189.207377,100.0,100.0,0,1,0.964162,0.185881,0,1,0.045385,0.208166,0.0,6.9e-05,6.7e-05,0.185881,7e-06,1.0,0.964162,0.653246,0.18588,0.653246,0.097818
case9_b1_11.mtx,14454,14134,0.977861,6.76533e-05,14134,101981772,7215.351068,100.0,100.0,0,1,0.977861,0.147133,0,1,0.019649,0.138808,0.0,6.9e-05,6.8e-05,0.147133,7e-06,1.0,0.977861,0.768709,0.147132,0.768709,0.09866
case9_b1_09.mtx,14454,14453,0.999931,6.91802e-05,14453,104451846,7227.001038,100.0,100.0,0,1,0.999931,0.008317,0,1,0.000138,0.011761,0.0,6.9e-05,6.9e-05,0.008317,7e-06,1.0,0.999931,0.999178,0.008317,0.999178,0.099996
case9_b2_01.mtx,14454,14453,0.999931,6.91802e-05,14453,104451846,7227.001038,100.0,100.0,0,1,0.999931,0.008317,0,1,0.000138,0.011761,0.0,6.9e-05,6.9e-05,0.008317,7e-06,1.0,0.999931,0.999178,0.008317,0.999178,0.099996
case9_A_05.mtx,14454,147972,10.2374,0.000708278,14517,104954094,709.283473,49.910061,19.46652,1,7210,10.237443,105.235596,0,7194,1.091878,85.099434,6.9e-05,0.999862,0.436916,3800.91748,0.000454,1.0,0.002173,0.001338,0.018803,0.392665,0.218051
case9_b2_04.mtx,14454,14453,0.999931,6.91802e-05,14453,104451846,7227.001038,100.0,100.0,0,1,0.999931,0.008317,0,1,0.000138,0.011761,0.0,6.9e-05,6.9e-05,0.008317,7e-06,1.0,0.999931,0.999178,0.008317,0.999178,0.099996
case9_A_06.mtx,14454,147972,10.2374,0.000708278,14517,104954094,709.283473,49.910061,19.46652,1,7210,10.237443,105.235596,0,7194,1.091878,85.099434,6.9e-05,0.999862,0.436916,3800.91748,0.000454,1.0,0.002173,0.001338,0.018803,0.392665,0.218051
case9_b1_01.mtx,14454,14453,0.999931,6.91802e-05,14453,104451846,7227.001038,100.0,100.0,0,1,0.999931,0.008317,0,1,0.000138,0.011761,0.0,6.9e-05,6.9e-05,0.008317,7e-06,1.0,0.999931,0.999178,0.008317,0.999178,0.099996
case9_b2_12.mtx,14454,14146,0.978691,6.77107e-05,14146,102126638,7219.471087,100.0,100.0,0,1,0.978691,0.144419,0,1,0.01702,0.129344,0.0,6.9e-05,6.8e-05,0.144419,7e-06,1.0,0.978691,0.776329,0.144418,0.776329,0.09871
case9_b2_09.mtx,14454,14453,0.999931,6.91802e-05,14453,104451846,7227.001038,100.0,100.0,0,1,0.999931,0.008317,0,1,0.000138,0.011761,0.0,6.9e-05,6.9e-05,0.008317,7e-06,1.0,0.999931,0.999178,0.008317,0.999178,0.099996
case9_b2_07.mtx,14454,14453,0.999931,6.91802e-05,14453,104451846,7227.001038,100.0,100.0,0,1,0.999931,0.008317,0,1,0.000138,0.011761,0.0,6.9e-05,6.9e-05,0.008317,7e-06,1.0,0.999931,0.999178,0.008317,0.999178,0.099996
case9_b1_02.mtx,14454,14453,0.999931,6.91802e-05,14453,104451846,7227.001038,100.0,100.0,0,1,0.999931,0.008317,0,1,0.000138,0.011761,0.0,6.9e-05,6.9e-05,0.008317,7e-06,1.0,0.999931,0.999178,0.008317,0.999178,0.099996
case9_A_03.mtx,14454,147972,10.2374,0.000708278,14517,104954094,709.283473,49.910061,19.46652,1,7210,10.237443,105.235596,0,7194,1.091878,85.099434,6.9e-05,0.999862,0.436916,3800.91748,0.000454,1.0,0.002173,0.001338,0.018803,0.392665,0.218051
case9_b1_03.mtx,14454,14453,0.999931,6.91802e-05,14453,104451846,7227.001038,100.0,100.0,0,1,0.999931,0.008317,0,1,0.000138,0.011761,0.0,6.9e-05,6.9e-05,0.008317,7e-06,1.0,0.999931,0.999178,0.008317,0.999178,0.099996
c-19.mtx,2327,21817,9.37559,0.00402905,2605,1850739,84.830132,35.367424,8.342118,2,362,9.375591,11.990824,0,354,1.886119,12.764497,0.372153,0.995703,0.64796,487.530853,0.001869,0.174122,0.005383,0.004376,0.005868,0.639584,0.215519
nemeth19.mtx,9506,818302,86.0827,0.00905562,121,1146564,1.40115,0.0,0.0,41,98,86.082687,7.543952,0,26,7.962339,4.709836,0.004944,0.011992,0.010451,7.907794,0.783019,0.98,0.866454,0.86594,0.029597,0.076817,0.245718
bcsstk05.mtx,153,2423,15.8366,0.103507,57,7909,3.264135,2.614379,0.742881,4,24,15.836601,5.112405,0,8,1.856209,2.197496,0.03268,0.287582,0.208211,7.329246,0.25641,0.9,0.5057,0.484857,0.142587,0.154579,0.228369
MOLIERE_2016.mtx,30239687,0,0.0,0.0,0,0,,100.0,,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mesh1e1.mtx,48,306,6.375,0.132812,71,1840,6.013072,16.666666,12.091503,4,8,6.375,1.0333,0,3,1.208333,0.789471,0.145833,1.0,0.62283,12.634675,0.088889,0.857143,0.274264,0.235269,0.170102,0.303376,0.202381
lhr02.mtx,2954,36875,12.4831,0.00422582,1129,2903199,78.73082,73.52742,20.075932,1,43,12.483074,15.821913,0,39,16.174339,18.044346,0.000339,0.459716,0.120885,344.369507,0.002712,1.0,0.141056,0.039959,0.288709,0.499529,0.223182
ex26.mtx,2163,74464,34.4263,0.015916,1087,1408955,18.921291,0.462321,0.064461,4,80,34.426258,17.6828,0,46,9.861303,11.823345,0.003699,0.991216,0.233326,549.404053,0.008189,0.625,0.11185,0.091726,0.069758,0.141761,0.239562
jan99jac040.mtx,13694,72734,5.31138,0.000387862,2949,33882125,465.836129,64.71447,33.116562,1,68,5.311377,6.110705,0,66,3.044618,7.848808,7.3e-05,0.933694,0.101979,1997.526123,0.000421,1.0,0.186593,0.022782,0.32133,0.716802,0.194945
klein-b2.mtx,30,60,2.0,0.0666667,39,693,11.55,100.0,100.0,0,3,2.0,1.414214,0,3,0.1,0.538517,0.0,0.7,0.263333,7.053841,0.003333,1.0,0.218608,0.064521,0.22169,0.082493,0.142857
lp_standmps.mtx,1274,3878,3.04396,0.00238929,1150,720125,185.694946,84.379906,23.20784,0,745,3.043956,21.466225,0,732,1.564364,29.05463,0.0,0.924647,0.092864,256.068604,7.8e-05,1.0,0.114166,0.000848,0.30709,0.001967,0.167473
email-EuAll.mtx,265214,420045,1.5838,5.97177e-06,236999,35773820431,85166.637934,98.098892,62.759705,0,930,1.583797,9.967556,0,929,1.554782,13.200554,0.0,0.999759,0.013966,23465.046875,0.0,1.0,0.735111,0.048567,0.439977,0.107245,0.128397
soc-sign-Slashdot081106.mtx,77357,516575,6.67781,8.63245e-05,100320,5004959388,9688.73714,82.099876,11.042152,0,426,6.677805,23.683014,0,426,10.150368,29.099567,0.0,0.998798,0.153735,20188.943359,1e-06,1.0,0.205302,0.000149,0.402894,0.002488,0.204144
rajat08.mtx,19362,83443,4.30963,0.000222582,483,5518166,66.130964,99.994835,99.901726,1,82,4.309627,1.115077,0,79,0.03698,0.81739,5.2e-05,0.999587,0.023806,1476.125366,0.000155,1.0,0.02335,0.017023,0.063663,0.740556,0.185452
TSOPF_FS_b162_c4_b.mtx,40798,40797,0.999976,2.45104e-05,40797,832218215,20399.005196,100.0,100.0,0,1,0.999976,0.004951,0,1,4.9e-05,0.007001,0.0,2.5e-05,2.5e-05,0.004951,2e-06,1.0,0.999976,0.999683,0.004951,0.999683,0.099999
TSOPF_FS_b162_c4.mtx,40798,2398220,58.7828,0.00144083,41203,847003608,353.180112,49.223,3.339936,1,20054,58.782784,495.453125,0,19931,1.191088,139.490097,2.5e-05,0.999412,0.432504,10733.770508,0.000171,1.0,0.002863,0.001274,0.013689,0.32852,0.243779
n4c6-b8.mtx,198895,1790055,9.0,4.525e-05,361077,38832788560,21693.628721,0.0,0.0,9,9,9.0,0.0,0,0,0.0,0.0,0.000241,0.498268,0.297358,28532.419922,9.1e-05,0.1875,0.000321,0.000186,0.001482,0.778556,0.214286
mark3jac120.mtx,54929,322483,5.87091,0.000106882,666,36225881,112.334235,56.516594,32.902199,2,44,5.870906,3.848135,0,41,3.324109,3.463284,3.6e-05,0.075061,0.007792,610.679382,0.001319,1.0,0.15428,0.037058,0.276296,0.552681,0.199124
n4c5-b3.mtx,1350,5400,4.0,0.00296296,1776,1400496,259.351111,100.0,100.0,4,4,4.0,0.0,0,0,0.0,0.0,0.002963,0.272593,0.118256,87.573967,0.01087,1.0,0.04008,0.030163,0.049779,0.643077,0.181818
c-49.mtx,21132,157040,7.43138,0.000351665,21833,123643448,787.33729,60.846111,23.141237,2,1532,7.431384,14.45191,0,1528,1.710486,12.221356,0.39381,1.0,0.639347,4075.611572,0.000133,0.072497,0.000476,0.000365,0.000697,0.738987,0.208013
n2c6-b9.mtx,1470,3060,2.08163,0.00141608,1543,1281605,418.825163,79.18367,0.0,0,10,2.081633,4.060019,0,10,0.006803,0.260731,0.0,0.622449,0.084097,273.77002,6.8e-05,1.0,0.007693,0.000224,0.038463,0.000437,0.145299
utm3060.mtx,3060,42211,13.7944,0.00450799,72,213907,5.067565,12.418301,2.707825,1,29,13.794444,6.432703,0,20,5.969934,5.574084,0.000327,0.140196,0.100945,87.327377,0.011236,1.0,0.069648,0.045089,0.129547,0.238165,0.225481
Ge87H76.mtx,112985,7892195,69.8517,0.000618239,34671,3615325141,458.088674,0.0,0.0,7,469,69.851707,90.158813,0,409,14.866398,51.724121,6.2e-05,0.336452,0.225379,7900.90332,0.000751,1.0,0.002708,0.001902,0.005095,0.522685,0.244744
mouse_gene.mtx,45101,28967291,642.276,0.0142408,89919,2034037381,70.218419,12.416576,0.046062,1,8032,642.276062,856.676636,0,7810,779.730652,860.948425,2.2e-05,0.999845,0.84855,12023.499023,4.5e-05,1.0,0.061027,0.006136,0.208076,0.735976,0.249418
SmaGri.mtx,1059,4919,4.64495,0.00438616,985,576859,117.2716,80.9254,18.174425,0,232,4.644948,14.754772,0,231,6.060434,16.704937,0.0,0.997167,0.144795,247.308502,9.4e-05,1.0,0.149118,0.003418,0.336734,0.015524,0.188974
n3c5-b1.mtx,45,90,2.0,0.0444444,50,1325,14.722222,100.0,100.0,2,2,2.0,0.0,0,0,0.0,0.0,0.044444,0.222222,0.103704,2.211083,0.2,1.0,0.543051,0.481651,0.2668,0.5,0.142857
c-big.mtx,345241,2340859,6.78036,1.96395e-05,315305,28328443617,12101.730013,58.624264,23.599926,2,19578,6.780362,36.450592,0,19574,1.146729,50.232254,0.415261,0.980089,0.632236,67472.171875,8e-06,0.05786,2.7e-05,2.2e-05,0.000111,0.775199,0.204712
fpga_dcop_11.mtx,1220,5892,4.82951,0.00395861,1601,1216210,206.417176,95.409836,82.892059,1,36,4.829508,4.012748,0,35,1.1,2.948159,0.00082,0.891803,0.668056,332.860474,0.003484,1.0,0.076095,0.008262,0.251447,0.721692,0.190754
cis-n4c6-b14.mtx,6300,13800,2.19048,0.000347695,6461,22581615,1636.348913,85.396828,0.0,0,15,2.190476,5.296961,0,15,0.002381,0.188954,0.0,0.758413,0.070171,1191.994263,1.6e-05,0.454545,0.001423,3.8e-05,0.009054,7.5e-05,0.148387
ASIC_100ks.mtx,99190,578890,5.83617,5.88383e-05,32013,2646683336,4571.996987,62.751286,47.2658,1,206,5.836173,6.163248,0,199,1.663716,5.893385,1e-05,0.996371,0.048648,12868.551758,3.1e-05,1.0,0.203807,0.019131,0.310541,0.383247,0.198883
tmt_unsym.mtx,917825,4584801,4.99529,5.44253e-06,4321,3961254063,863.996946,99.999992,100.0,3,5,4.995289,0.086197,0,2,0.004153,0.077702,3e-06,0.002357,0.001999,375.115021,0.001388,1.0,0.003634,0.002842,0.022442,0.598391,0.192266
ex14.mtx,3251,65875,20.263,0.00623285,601,1862335,28.27074,0.0,0.0,7,37,20.262997,7.891872,0,28,4.517994,6.379207,0.006767,0.167641,0.074854,98.459267,0.028213,0.7,0.093757,0.084981,0.057454,0.176152,0.232769
impcol_c.mtx,137,400,2.91971,0.0213117,52,6176,15.44,93.430656,82.0,1,8,2.919708,1.523816,0,7,0.583942,1.507364,0.007299,0.671533,0.186851,23.085514,0.021739,1.0,0.297326,0.175788,0.327504,0.587466,0.165153
TSOPF_RS_b2383_c1_b.mtx,38120,18307,0.480247,1.25983e-05,55,597993,32.664718,100.0,100.0,0,2,0.480247,0.532689,0,2,0.000341,0.019831,0.0,0.008604,0.000158,42.420521,3e-06,1.0,0.446249,0.000927,0.497019,0.001011,0.06063
TSOPF_RS_b2383_c1.mtx,38120,16171169,424.217,0.0111285,23364,451357736,27.911262,47.497375,0.445138,2,983,424.217438,484.296631,0,978,0.273111,5.120251,5.2e-05,0.874974,0.483292,7940.71875,0.00018,1.0,0.018945,0.00289,0.038529,0.301695,0.249119
g7jac160.mtx,47430,564952,11.9113,0.000251134,3370,140475988,248.651192,59.938858,15.572474,1,141,11.91128,22.269651,0,139,8.840354,22.611748,2.1e-05,0.292262,0.031678,3619.950684,0.000296,1.0,0.163019,0.041047,0.27733,0.60481,0.222038
para-6.mtx,155924,2094873,13.4352,8.61652e-05,118276,12060253298,5757.033146,1.73033,0.230658,1,6931,13.435219,18.708942,0,6891,1.357245,23.652124,6e-06,0.990264,0.694194,16103.384766,3.8e-05,1.0,0.003741,0.000122,0.059935,0.631572,0.224892
